Project;X;Y;Ecoregion;Basin;BC region
Kempf1970;-35.26271006;-5.354915514;ER75;PEPB;
Kempf1970;-34.57887859;-7.670618042;ER75;PEPB;
Kempf1970;-34.67289586;-7.812089676;ER75;PEPB;
Kempf1970;-35.29449959;-5.345370676;ER75;PEPB;
Kempf1970;-34.54892992;-7.873636524;ER75;PEPB;
Kempf1970;-35.29728216;-4.945550091;ER75;PEPB;
Kempf1970;-35.04391048;-5.638866929;ER75;PEPB;
Kempf1970;-34.66927383;-7.571587444;ER75;PEPB;
Kempf1970;-34.54811636;-7.892026703;ER75;PEPB;
Kempf1970;-35.37556142;-4.888364412;ER75;PEPB;
Kempf1970;-35.16130413;-5.460035653;ER75;PEPB;
Kempf1970;-34.92305187;-6.532107693;ER75;PEPB;
Kempf1970;-34.91805587;-6.359084886;ER75;PEPB;
Kempf1970;-34.9459874;-6.213691013;ER75;PEPB;
Kempf1970;-34.84361978;-6.595076402;ER75;PEPB;
Kempf1970;-35.03861113;-5.635993972;ER75;PEPB;
Kempf1970;-35.3891419;-4.776884162;ER75;PEPB;
Kempf1970;-35.27244486;-5.409042304;ER75;PEPB;
Kempf1970;-34.96487116;-6.299043454;ER75;PEPB;
Kempf1970;-34.81281238;-6.417136609;ER75;PEPB;
Kempf1970;-35.44693343;-4.827158304;ER75;PEPB;
Kempf1970;-34.4713329;-7.549204291;ER75;PEPB;
Kempf1970;-34.67886254;-7.081437716;ER75;PEPB;
Kempf1970;-35.29343231;-5.190673105;ER75;PEPB;
Kempf1970;-34.60720694;-7.475007961;ER75;PEPB;
Kempf1970;-34.50776006;-7.50272142;ER75;PEPB;
Kempf1970;-35.05022425;-5.458424002;ER75;PEPB;
Kempf1970;-35.11631349;-5.70510529;ER75;PEPB;
Kempf1970;-35.278738;-4.989382822;ER75;PEPB;
